Index,Genre(s),Director(s)
0,"Adventure, Action, Science Fiction, Thriller",Colin Trevorrow
1,"Action, Adventure, Fantasy, Science Fiction",James Cameron
2,"Action, Adventure, Fantasy",Taika Waititi
3,"Crime, Drama, Thriller",Martin Scorsese
4,"Action, Adventure, Science Fiction",Ryan Coogler
5,"Action, Fantasy, Adventure",Jaume Collet-Serra
6,"Horror, Thriller",David Gordon Green
7,"Drama, Music, History",Baz Luhrmann
8,"Drama, Mystery, Thriller",Olivia Wilde
9,"Comedy, Crime, Drama, Mystery",Rian Johnson
10,"Action, Adventure",Ruben Fleischer
11,"Action, Drama",Joseph Kosinski
12,"Crime, Mystery, Thriller",Matt Reeves
13,"Action, Thriller",Ric Roman Waugh
14,"Action, Thriller",Simon Kinberg
15,"Drama, Romance, Thriller",Claire Denis
16,"Action, Thriller, Crime",Michael Bay
17,"Drama, Mystery, Thriller",Adrian Lyne
18,"Action, Science Fiction, Comedy, Family, Adventure",Jeff Fowler
19,"Horror, Mystery, Thriller","Matt Bettinelli-Olpin, Tyler Gillett"
20,"Fantasy, Action, Adventure",Sam Raimi
21,"Fantasy, Family, Comedy",Anne Fletcher
22,"Crime, Drama, Mystery, Thriller",Kenneth Branagh
23,"Drama, Action",Michael B. Jordan
24,"Western, Action",
25,"Comedy, Drama, Horror",Ari Aster
26,"Action, Adventure, Crime","Adil El Arbi, Bilall Fallah"
27,"Action, Crime",Edgar Wright
28,"Adventure, Fantasy, Family",Francis Lawrence
29,"Fantasy, Adventure",David Yates
30,"Action, Science Fiction, Fantasy",Daniel Espinosa
31,"Action, Comedy, Crime",Tom Gormican
32,"Science Fiction, Adventure, Action",Roland Emmerich
33,"Comedy, Action, Documentary",Jeff Tremaine
34,"Action, Thriller",Sam Hargrave
35,Drama,Lila Neugebauer
36,"Drama, Crime, History",Paolo Sorrentino
37,Drama,
38,Drama,Baltasar Kormákur
39,"Animation, Adventure, Comedy","Loren Bouchard, Bernard Derriman"
40,Comedy,"Machine Gun Kelly, Mod Sun"
41,"Comedy, Fantasy",Brian Petsos
42,"Comedy, Romance",Jason Orley
43,"Mystery, Adventure, Drama",Harry Bradbeer
44,Thriller,Matthew Vaughn
45,"Drama, Comedy, Horror",Peter Strickland
46,"Horror, Thriller, Drama",Toby Meakins
47,"Horror, Mystery",Iris K. Shim
48,"Action, Thriller, Mystery",David Leitch
49,"Action, Adventure, Fantasy, Thriller",Robert Eggers
50,"Drama, History, Romance",Simon Curtis
51,"Action, Adventure, Comedy, Science Fiction",Shawn Levy
52,"Animation, Science Fiction, Adventure, Family, Action, Comedy",Angus MacLane
53,"Action, Thriller, Adventure","Anthony Russo, Joe Russo"
54,"Animation, Comedy, Family, Fantasy",
55,"Romance, Comedy, Science Fiction",Yorgos Lanthimos
56,"Animation, Family, Fantasy, Comedy, Adventure","Derek Drymon, Jennifer Kluska"
57,"Family, Comedy, Animation, Action","Rob Minkoff, Mark Koetsier"
58,"Drama, Comedy, Romance",Advait Chandan
59,"Crime, Drama, Thriller",Guillermo del Toro
60,Thriller,Susanna Fogel
61,"Family, Comedy, Animation",Hamish Grieve
62,"Comedy, Action",Tim Brown
63,"Drama, History",Alfonso Gomez-Rejon
64,"Horror, Thriller",Scott Derrickson
65,"Romance, Comedy",Andy Fickman
66,"TV Movie, Fantasy, Adventure",Clive Donner
67,"Action, Thriller",Mark Williams
68,Comedy,Alex Hardcastle
69,,Ben Tishler
70,"Comedy, Drama",Ruben Östlund
71,Comedy,John Hamburg
