Title,Certificate
Jurassic World Dominion,PG-13
Avatar: The Way of Water,Unknown
Thor: Love and Thunder,Unknown
Killers of the Flower Moon,Unknown
Black Panther: Wakanda Forever,Unknown
Black Adam,Unknown
Halloween Ends,Unknown
Elvis,Unknown
Don't Worry Darling,R
Knives Out 2,Unknown
Uncharted,PG-13
Top Gun: Maverick,PG-13
The Lego Batman Movie 2,Unknown
The Batman,PG-13
Night Has Fallen,Unknown
The 355,PG-13
Who Framed Roger Rabbit 2,Unknown
Stars at Noon,Unknown
Ambulance,R
Sesame Street,Unknown
Deep Water,R
Sonic the Hedgehog 2,PG
Scream,R
Doctor Strange in the Multiverse of Madness,PG-13
Wendell and Wild,Unknown
The Man from Toronto,PG-13
Hocus Pocus 2,Unknown
Silent Life,Unknown
Death on the Nile,PG-13
Creed III,Unknown
Django/Zorro,Unknown
Tomb Raider 2,Unknown
Disappointment Blvd.,Unknown
Batgirl,Unknown
Baby Driver 2,Unknown
Slumberland,PG
Fantastic Beasts: The Secrets of Dumbledore,PG-13
Untitled: The Walking Dead Movie,Unknown
Morbius,PG-13
The Unbearable Weight of Massive Talent,R
Moonfall,PG-13
The Division,Unknown
Jackass Forever,R
Extraction 2,Unknown
Blonde,NC-17
Untitled Shrek Reboot,Unknown
"Red, White and Water",Unknown
Mob Girl,Unknown
The Black Hand,Unknown
Find Me,Unknown
Samaritan,PG-13
The Good Spy,Unknown
Shriver,Unknown
The Bob's Burgers Movie,PG-13
Sanctuary,Unknown
Havoc,Unknown
Aurora,Unknown
Good Mourning,R
Big Gold Brick,Unknown
I Want You Back,R
Enola Holmes 2,Unknown
Argylle,Unknown
Flux Gourmet,Unknown
Choose or Die,MA-17
Umma,PG-13
Bullet Train,Unknown
The Northman,R
Downton Abbey: A New Era,PG
Labor of Love,Unknown
The Adam Project,PG-13
Spirited,Unknown
Lightyear,Unknown
The Gray Man,Unknown
Little Shop of Horrors,Unknown
Night at the Museum: Kahmunrah Rises Again,Unknown
Crater,Unknown
Poor Things,Unknown
Hotel Transylvania: Transformania,PG
Pinocchio,Unknown
Paws of Fury: The Legend of Hank,PG
Laal Singh Chaddha,Unknown
Nightmare Alley,R
Cat Person,Unknown
Rumble,PG
The Retirement Plan,Unknown
Speed of Light,Unknown
Newsflash,Unknown
The Black Phone,R
One True Loves,Unknown
Arthur the King,Unknown
Skull,Unknown
Blacklight,PG-13
Retribution,Unknown
Senior Year,R
You People,Unknown
Hate to See You Go,Unknown
Sniff,Unknown
Muti,Unknown
Triangle of Sadness,Unknown
Me Time,Unknown
