Index,Director(s)
0,Colin Trevorrow
1,James Cameron
2,Taika Waititi
3,Martin Scorsese
4,Ryan Coogler
5,Jaume Collet-Serra
6,David Gordon Green
7,Baz Luhrmann
8,Olivia Wilde
9,Rian Johnson
10,Ruben Fleischer
11,Joseph Kosinski
12,Matt Reeves
13,Ric Roman Waugh
14,Simon Kinberg
15,Claire Denis
16,Michael Bay
17,Adrian Lyne
18,Jeff Fowler
19,"Matt Bettinelli-Olpin, Tyler Gillett"
20,Sam Raimi
21,Anne Fletcher
22,Kenneth Branagh
23,Michael B. Jordan
24,""
25,Ari Aster
26,"Adil El Arbi, Bilall Fallah"
27,Edgar Wright
28,Francis Lawrence
29,David Yates
30,Daniel Espinosa
31,Tom Gormican
32,Roland Emmerich
33,Jeff Tremaine
34,Sam Hargrave
35,Lila Neugebauer
36,Paolo Sorrentino
37,""
38,Baltasar Kormákur
39,"Loren Bouchard, Bernard Derriman"
40,"Machine Gun Kelly, Mod Sun"
41,Brian Petsos
42,Jason Orley
43,Harry Bradbeer
44,Matthew Vaughn
45,Peter Strickland
46,Toby Meakins
47,Iris K. Shim
48,David Leitch
49,Robert Eggers
50,Simon Curtis
51,Shawn Levy
52,Angus MacLane
53,"Anthony Russo, Joe Russo"
54,""
55,Yorgos Lanthimos
56,"Derek Drymon, Jennifer Kluska"
57,"Rob Minkoff, Mark Koetsier"
58,Advait Chandan
59,Guillermo del Toro
60,Susanna Fogel
61,Hamish Grieve
62,Tim Brown
63,Alfonso Gomez-Rejon
64,Scott Derrickson
65,Andy Fickman
66,Clive Donner
67,Mark Williams
68,Alex Hardcastle
69,Ben Tishler
70,Ruben Östlund
71,John Hamburg
